codebook,cname,edate,ccode,year,month,coup,confidence,added,coder,cmps,mmdd,Narrative,confirmed,sources,location1,location2,location3,location4,location5,location6,location7,location8,Johnson
,Congo Kinshasa,3/29/1963,490,1963,3,0,0,0,jmp,0,1,General violence/retalion?,,MMDD,,,,,,,,,
,Congo Kinshasa,6/4/1964,490,1963,6,0,0,0,jmp,0,1,General violence/theft?,,MMDD,,,,,,,,,
,Congo Kinshasa,7/23/1966,490,1966,7,0,1,1,cmps,1,1,"Katangese gendarmes who had been integrated into the Congolese Army rebelled and seized Kisangani, claiming they had not been paid for three months. The soldiers, estimated to be around 800 strong, killed several high-ranking Congolese officers. Approximately 300 mercenaries were also involved, 60 of which sided with the central government and the remaining 240 siding with the Katangese forces.",,"1. Belgian consul ousted by Congo. The New York Times. July 31 1966. PROQ. 2. Congo detaining 10 mercenaries: Staff officers held in wake of mutiny by Katangans. The New York Times. July 28 1966. PROQ. 3. Congo negotiates with rebels who seized ciy. The New York Times. July 25 1966. PROQ. 4. Young, Crawford. Politics in Congo: Decolonization and Independence. Princeton University Press: London, 1965.","Kisangani, Democratic Republic of the Congo",,,,,,,,
,Congo Kinshasa,7/5/1967,490,1967,7,0,1,1,cmps,1,1,"Discontented Katangese soldiers, with assistance from Belgian mercenaries led by Major Jean Schramme, (Schramme Commandos) took over the army camp in Bukavu. Interviews with Michel Andre, the last Belgian to leave Bukavu after the rebellion started, suggested that the Katangese soldiers rebelled in protest of being underpaid and because of their treatment by the regular army, which viewed them as traitors. After raiding the army camp and the local branch of the national bank, withdrawing large sums of money and a large stock of weapons, Schramme and the Katangese soldiers also seized control of Kisangani. The mutiny ended on/around July 13 as the mutineers fled the Kisangani airport.",,"1. 60 feared killed by Congo troops: 5 Europeans reported to be among the slain after recapture of Bukavu. The New York Times. July 9 1967. PROQ. 2. Haskin, Jeanne. The Tragic State of the Congo: From Decolonization to Dictatorship. New York: Algora Publishing, 2005.","Bukavu, Democratic Republic of the Congo","Kisangani, Democratic Republic of the Congo",,,,,,,
,Congo Kinshasa,9/23/1991,490,1991,9,0,1,1,cmps,1,1,"Paratroopers from the 31st brigade mutinied in protest over non-payment by the government for several months. Soldiers looted and pillaged a supply depot at the airport before driving to downtown Kishasa where they looted and pillaged stores on the main street. They also seized control of the international airport for approximately two hours before it was retaken by government forces, and set fire to the People’s Revolutionary Movement (MPR) headquarters. The two-day mutiny ended when the government agreed to pay the soldiers (two months behind schedule) the equivalent of 30 pounds, well above the monthly soldier’s wage of approximately 3 pounds.",,"1. Mutiny in Zaire - Riots in the capital. The Associated Press. September 23 1991. LN. 2. Zaire: Parachutists storm Kinshasa, block airport, fronteirs. IPS-Inter Press Service. September 23 1991. LN. 3. Fifteen dead in Kinshasa riots: AZAP Agency. Agence France Presse. September 24 1991. LN. 4. France, Belgium send in troops as 19 die in Zaire mutiny. Agence France Presse. September 24 1991. LN. 5. Thousands of troops on Rampage of looting and violence in Zaire. The New York Times. September 24 1991. LN. 6. Up to 15 killed in mutiny by Zairean troops. United Press International. September 24 1991. LN. 7. ZAIRE: French, Belgian troops restore calm. The Ottowa Citizen. September 25 1991. LN. 8. French seize Zaire airport in wake of troops' mutiny. USA Today. September 25 1991. LN. 9. Zaire army pays up to quell mutiny. The independent. September 30 1991. LN. 10. Riots reported in more cities; speculation on new PRime Minister. The Associated Press. October 22 1991. LN. 11. Violent protesters reject prime ministers, soldiers pursue mutiny. The Associated Press. October 24 1991. LN. 12. Zaire troop mutiny spreading. Calgary Herald. October 27 1991. LN.","Kinshasa, Zaire","Lumumbashi, Zaire",,,,,,,
,Congo Kinshasa,10/22/1991,490,1991,10,0,1,1,cmps,1,1,"Soldiers mutinied in Lubumbashi in protest of the Mobutu Sese Seko’s firing of Etienne Tshisekedi from his post as prime minister. Soldiers looted and pillaged shops in Lubumbashi and the mutiny spread to at least four towns. In addition to the firing of Tshisekedi, soldiers were also protesting in response to the government’s non-payment of their salaries (drawing parallels to the September 23-24 mutiny less than a month earlier).",,1. Riots reported in more cities; speculation on new prime minster. The Associated Press. October 22 1991. LN. 2. Zaire troop mutiny spreading. Calgary Herald. October 27 1991. LN.,"Lumumbashi, Zaire",reports say the mutiny spread to at least 3 other towns but they are unnamed,,,,,,,
,Congo Kinshasa,12/20/1992,490,1991,12,0,1,2,jmp,0,1,"Soldiers from the 41st Brigade in Kisangani, over insufficient pay, detain the regional governor and go on a looting spree.",,1. LM. Zaire Soldiers looted the city of Kisangani,,,,,,,,,
,Congo Kinshasa,1/29/1993,490,1993,1,0,1,1,cmps,1,1,"Soldiers in the Kokolo army camp in Kinshasa mutinied in protest of their January payment of Zaire banknotes (newly printed five-million Zaire notes) which were severely devalued due to hyperinflation. Soldier’s wives claimed they were unable to buy food with the banknotes. Troops loyal to Mobutu, more well-equipped than the mutineers, responded violently to the mutinous soldiers. At least 1,000 were reported killed in violent clashes, mostly on the side of the mutinous soldiers. The mutiny and the subsequent in-fighting between mutinous soldiers (believed to be paratroopers) and the regular army lasted for approximately ten days.",,"1. Death toll mounts in Zaire as troops go on rampage; France and Belgium to evacuate their nationals after foreigners are killed. The Guardian. January 30 1993. LN. 2. French troops sent to Zaire. The Herald (Glasgow). January 30 1993. LN. 3. 45 dead in Zaire after soldiers riot over pay. The Ottowa Citizen. January 30 1993. LN. 4. More than 1,800 foreigners flee Zaire violence for Brazzaville. Agence France Presse. February 1 1993. LN. 5. Government blocks off downtown Kinshasa; up to 1000 reported killed. The Associated Press. February 1 1993. LN. 6. Mutiny sparks riots. Herald Sun. February 1 1993. LN. 7. 1,000 said to die in mutiny in Zaire. The New York Times. February 3 1993. LN. 8. Zaire power struggle leaves 1,000 dead as troops mutiny. The Vancouver Sun. February 3 1993. LN. 9. Ten days after bloody riots, Zaire back to political infighting. The Associated Press. February 6 1993. LN. 10. Mutiny in Zaire leaves hundreds dead. The New York TImes. February 7 1993. LN.","Kinshasa, Zaire",,,,,,,,
,Congo Kinshasa,2/24/1993,490,1993,2,0,1,1,cmps,1,0,"Soldiers from Mobutu’s Special Presidential Guard blocked the entrance to the National Assembly with tanks and trenches, refusing to leave until lawmakers mandated that bank notes, specifically the five-million Zaire note issued by Mobutu Sese Seko, were accepted as legal currency. Army chiefs also rejected the interim constitution. Troops left the People’s Palace after the US, France, and Belgium demanded the mutineers disperse after holding the legislators hostage for three days. However, on Friday, 26 February 1993, presidential troops surrounded the home of interim leader Monsengwo Pasinya, firing into the air in a show of force to apparently ‘encourage’/intimidate legislators in the lead up to their meeting with Mobutu that was scheduled for the following Monday.",,"1. Elite force in Zaire gun rampage. Press Association. February 23 1993. LN. 2. Soldiers surround national assembly, demand acceptance of bank notes. The Associated Press. February 24 1993. LN. 3. Troops rampage in Zaire U.S. Congressman urges sanctions. The Globe and Mail. February 24 1993. LN. 4. Zaire troops said to kill 20. The New York Times. February 24 1994. LN. 5. Soldiers besiege Zaire's parliament. Press Association. February 24 1993. LN. 6. Troops loyal to Mobutu block parliament. The Gazette (Montreal, Quebec). February 25 1993. LN. 7. Army chiefs refuse to recognise transitional Zaire constitution. The Guardian. February 25 1993. LN. 8. Zairean troops blockade parliament. The Herald (Glasgow). February 25 1993. LN. 9. Zaire: soldiers mutiny, but Mobutu prolongs visit to France. IPS-Inter Press Service. February 25 1993. LN. 10. Zaire troops surround interim leader's home, release hostage lawmakers. The Associated Press. February 26 1993. LN. 11. Troops free legislators in Zaire. The Associated Press. February 26 1993. LN. 12. Zairean soldiers keep up siege. The Guardian. February 26 1993. LN. 13. Zaire: Army siege of interim parliament lifted. IPS-Inter Press Service. February 26 1993. LN.","Kinshasa, Zaire",,,,,,,,
,Congo Kinshasa,9/20/1997,490,1997,9,0,1,1,cmps,1,0,"Disgruntled soldiers in the Badiadingi military camp in western Kinshasa mutinied, staging a protest in response to unpaid wages. Eight soldiers were subsequently convicted of mutiny and sentenced to death on 27 September 1997. 42 additional soldiers were sentenced to life imprisonment.",,1. Unpaid soldiers mutiny in Congolese port city. The Associated Press January 22 1998. LN. 2. Unpaid soldiers mutiny in Congo. The Guardian. January 23 1998. LN.,,,,,,,,,
