codebook,cname,edate,ccode,year,month,coup,confidence,added,coder,cmps,mmdd,Narrative,confirmed,sources,location1,location2,location3,location4,location5,location6,location7,location8,Johnson
cmps=1 if event was included in cmps version of data,Sao Tome and Principe,2/10/2014,403,2014,2,0,1,1,cmps,1,0,"Angry soldiers mutinied, protesting the presidential guard and refused to receive honors from the president. Reports indicate that the soldiers were protesting rising prices.",,"1. President says discontent in Sao Tome army, plays down fears of uprising. 2. Feburary 2014 mutiny. GlobalSecurity.org Google. Available from: https://www.globalsecurity.org/military/world/africa/stp-mutiny-2014.htm","Sao Tome, Sao Tome e Principe",,,,,,,,0
"added=1 if cmps, 2 if current round",Guinea-Bissau,3/17/1993,404,1993,3,1,1,1,cmps,1,1,"A mutiny began when the head of an elite security unit, Major Robalo Gomes de Pina, was assassinated in Bissau. Troops engaged in fighting with loyalist forces and were put down, with more than 30 soldiers arrested. The mutiny reportedly stemmed from grievances related to pay and living conditions.",,"1. Guinea-Bissau terms military uprising as coup attempt. Xinhua General News Service. March 24 1993. LN. 2. Uprising servicemen arrested in Guinea-Bissau. The Xinhua General Overseas News ServiceXinhua General News Service. March 23 1993. LN. 3. McGowan, Patrick. 2003. ""African Military coups detat, 1956-2001: Frequency, Trends and distribution."" Journal of Modern African Studies 41(3): 339-370. 4. The Status of Human rights organizations in sub-saharan Africa Guinea-Bissau. University of Minnesota Human Rights Library. Google. Available from: http://hrlibrary.umn.edu/africa/gbissau.htm","Bissau, Guinea-Bissau",,,,,,,,1
coder=who added?,Guinea-Bissau,6/7/1998,404,1998,6,1,0,1,cmps,1,1,"Mutinies broke out at two barracks in the capital, with soldiers taking over arms caches, after they were scheduled to be dismissed for alleged involvement in arms trafficking to Casamance rebels. More than 60 mutineers were killed in the governments response to the mutiny. Some reports suggest up to 400 soldiers are involved in the mutiny. ",,1. Guinea-Bissau; No reaction on Guinea Bissau mutiny at OAU Summit. Africa News. June 8 1998. LN. 2. Guinea-Bissau government troops storm renegade soldiers. Agence France Presse. June 9 1998. LN. 3. Gunfire subsides but leaves Guinea Bissau's capital in turmoil. Agence France Presse. June 11 1998. LN. 4. Guinea-Bissau; Libya mediates in Guinea-Bissau mutiny. Africa News. June 15 1998. LN. 5. Mutiny quashed. The Australian. June 15 1998. LN. 6. Bissau emptying as army mutiny causes food shortage. Agence France Presse. June 18 1998. LN.,"Bissau, Guinea-Bissau",,,,,,,,1
Confidence=1 if no doubt event was a mutiny,Guinea-Bissau,11/3/1999,404,1999,11,0,1,1,cmps,1,0,"A battalion of 600 soldiers mutinied at their barracks in Santa Luiza, blocking access to roads, barracks, and schools. The mutineers demanded 17 months of salary arrears and ended the mutiny when General Mane promised to have the issue promptly resolved.",,1. Guinea-Bissau mutineers win promise of back pay. Agence France Presse. November 3 1999. LN. 2. Army protest in Guinea-Bissau causes unease ahead of elections. Associated Press International. November 4 1999. LN.,"Santa Luiza, Guinea-Bissau",,,,,,,,0
coup=1 if mutiny morphed into coup,Guinea-Bissau,12/7/1999,404,1999,12,0,1,1,cmps,1,0,Mutineers blocked roads in the capital and warned civilians to stay home as they protested a delay in salary payments. The mutiny was short lived and soldiers were given their backpay.,,1. West Africa; IRIN-WA Update of events in West Africa. Africa News. December 9 1999. LN. 2. Soldiers receive advances on war allowances. BBC Summary of world broadcasts. December 11 1999. LN. 3. Guinea-Bissau; situation returns to normal in Bissau. Africa News. December 8 1999. LN.,"Bissau, Guinea-Bissau",,,,,,,,0
,Guinea-Bissau,11/22/2000,404,2000,11,1,1,2,jmp,0,0,General Ansumane Mané and supporters mutiny in response to announced promotions,,,,,,,,,,,0
,Guinea-Bissau,10/6/2004,404,2004,10,0,1,1,cmps,1,1,"More than 600 mutineers protested on the streets of Bissau, demanding payment for their participation in a peacekeeping mission in Liberia. During the course of the mutiny the army chief of staff and a colonel were killed. The soldiers then surrounded strategic buildings, including army HQ and engaged in gun battles with loyalist troops.",,"1. 2nd roundup: Guniea government negotiates with protesting soldiers. Deutsche Presse-Agentur. October 6 2004. LN. 2. 3rd roundup: unpaid soldiers mutiny in Guinea-Bissau, kill two officers Eds: Reledes with death of army chief of staff. Deutsche Presse-Agentur. October 6 2004. LN. 3. Political forces behind army mutiny in Guinea-Bissau: PM. Xinhua General News Service. October 6 2004. LN. 4. Arms and Military affairs; Armed forces chief killed as soldiers mutiny over pay arrears. Africa News. October 7 2004. LN. 5. Guinea Bissau; Fragile democracy jeopardised by military revolt. Africa News. October 7 2004. LN. 6. Guinea-Bissau general who led coup killed in army mutiny, officials confirm. Agence France Presse. October 7 2004. LN. 7. Troops mutiny in back-pay demand. The Independent. October 7 2004. LN. 8. Guinea-Bissau government, mutineers resume talks. Xinhua General News Service. October 7 2004. LN. 9. Guinea-Bissau mutineers to continue negotiation with Gov't. Xinhua General News Service. October 7 2004. LN. 10. Guinea-Bissau unrest over, president says. Deutsche Presse-Agentur. October 8 2004. LN.","Bissau, Guinea-Bissau",,,,,,,,1
,Guinea-Bissau,12/26/2011,404,2011,12,0,1,1,cmps,1,1,"Soldiers demanding better pay mutinied in Bissau, fanning out across the capital and attacking the headquarters of the armed forces.",,"1. Soldiers attack Bissau army HQ over pay. Agence France Presse. December 26 2011. LN. 2. Army chief: Bissau soldiers attack HQ over pay. December 26 2011. Morocco Today. Google. Available from: https://www.almaghribtoday.net/en/42/army-chief-bissau-soldiers-attack-hq-over-pay 3. Guinea-Bissau foils military coup, official says. December 26 2011. France 24. Google. Available from: https://www.france24.com/en/20111226-guinea-bissau-foils-military-coup-official-says","Bissau, Guinea-Bissau",,,,,,,,1
,Equatorial Guinea,1/#/1986,411,1986,1,0,0,2,jmp,0,0,President Obiang institutes a ministerial reshuffle after armed forces unrest in Rio Muni.,verify,"1. Le Monde. Ministry of Defense is attached to the Presidency. January 21, 1986",,,,,,,,,0
,Gambia,6/14/1991,420,1991,6,0,1,1,cmps,1,1,"About 60 Gambian soldiers that served in an ECOMOG peacekeeping mission in Liberia mutinied in Banjul, protesting in front of the state house over unpaid deployment allowances. They demanded payment and the dismissal of army commander Colonel Ndaw Njie and the reinstatement of Major Sheikh Omay Fye.",,"1. Dwyer, Maggie. 2017. ""Fragmented forces: The development of the Gambian military."" African Security Review 26(4): 362-377. 2. World in brief: Dismissal demanded. The Globe and Mail. June 15 1991. LN.","Banjul, Gambia",,,,,,,,1
,Gambia,2/3/1992,420,1992,2,0,1,1,cmps,1,1,"Soldiers from the Yundum barracks mutinied, abandoning their barracks and protesting to authorities in the capital. The soldiers were demanding pay from their participation in an ECOMOG mission in Liberia.",,"1. Dwyer, Maggie. 2017. ""Fragmented forces: The development of the Gambian military."" African Security Review 26(4): 362-377. 2. Dwyer, Maggie. ""Anticipating the revolt: Trends in military mutinies in west and central Africa, 1960-2012."" Available from: https://pdfs.semanticscholar.org/a02b/72508c0f7e14278128ac371fc2b12764d764.pdf 3. Dwyer, Maggie. 2017. Soldiers in Revolt: Army Mutinies in Africa. C. Hurst & Co., UK. 4. West and Central Africa in Brief; Gambia protesting soldiers sow confusion in Banjul. BBC Summary of World Broadcasts. 6 February 1992. LN.","Banjul, Gambia",,,,,,,,1
,Mali,3/21/2012,432,2012,21,1,1,1,cmps,1,1,"Soldiers began a mutiny in Bamako, firing in the air and taking over the radio and television station. They were protesting the conflict in the north and demanded proper weapons and equipment to fight the Tuaregs. Similar mutinies and rioting were reported in Kati and Gao. The mutiny escalated into a coup when soldiers stormed the presidential palace and deposed the president.",,"1. Mali renegade soldiers say government dissolved. Voice of America News. March 22 2012. LN. 2. Mali; shots fired in Bamako during 'mutiny.' Africa News. March 21 2012. LN. 3. Fed-up with northern rebellion, Mali soldiers revolt. Agence France Presse. March 21 2012. LN. 4. Soldiers announce coup in Mali weeks before vote. Daily News Egypt. March 22 2012. LN. 5. Hours after soldiers storm state TV in Mali, mutiny at 2nd military base; Soldiers mutiny at military base in Mali. Canadian Press. March 21 2012. LN. 6. Mali soldiers say seize power after palace attack. News Point. March 22 2012. LN. 7. Soldiers stage mutiny, seize presidential palace in Mali. The Times (UK). March 22 2012. LN. 8. Mali junta detains loyalist army chiefs in northeast. Agence France Presse. March 22 2012. LN. 9. Fresh soldiers riot hits Gao town in Mali, gunshots heard: source. Xinhua General News Service. March 21 2012. LN. 10. 1st LD U.S. calls for peaceful solution to Mali crisis WASHINGTON, March 21
 (Xinhua) -- The U.S. government on Wednesday called for a peaceful solution to the ongoing crisis in Mali after Malian soldiers occupied the country's national television station earlier in the day. Xinhua General News Service. March 21 2012. LN. 11. Mali soldiers attack presidential palace. FT.com. March 21 2012. LN. 12. Soldiers mutiny at Gao military base in Mali. Associated Press Online. March 21 2012. LN. 13. Fighting escalates in attack on Mali presidency: witnesses. Agence France Presse. March 21 2012. LN. 14. Elite Mali troops patrol capital after mutiny. Agence France Presse. March 21 2012. LN. 15. Mali; whether staging mutiny or coup, soldiers shut down news media. Africa News. March 22 2012. LN. 16. Frustrated with handling of Tuareg rebellion, Mali's military mutinies; Washington monitors the unrest in a country it has long championed as a beacon of democracy in Africa. Globe and Mail. March 21 2012. LN. 17. France calls on Mali to respect. constitution amid mutiny. Agence France Presse. March 21 2012. LN. 18. ECOWAS statement on the disturbances in Bamako, Mali. Economic Community of West African States. March 2012. LN. 19. Mali; shots fired in Bamako during 'mutiny.' Africa News. March 21 2012. LN. 20. Exchange of gunfire at Mali's presidential palace: witnesses. Agence France Presse. March 21 2012. LN. 21. 3rd LD Mali soldiers fire ginshots in capital, occupy state TV. Xinhua General News Service. March 21 2012. LN. 22. Soldiers mutiny in Bamako, Mali. European Press Agency (EPA). March 21 2012. LN. 23. Mali; Mutiny 'topples' president Toure. Africa News. March 22 2012. LN.","Bamako, Mali (Kati Barracks)","Gao, Mali","Kati, Mali",,,,,,1
,Mali,1/31/2013,432,2013,1,0,1,1,cmps,1,0,"Soldiers in Douentza mutinied, refusing orders to relocate to Gao. The soldiers claimed that they were protesting the non-payment of wages and would not follow orders to move to Gao until they were paid.",,1. Malian soldiers refuse to move north until salaries are paid. BBC Monitoring Africa. January 31 2013. LN.,"Douentza, Mali",,,,,,,,1
,Mali,3/10/2013,432,2013,3,0,1,2,jmp,0,1,Dozens of soldiers mutiny and leave posts in Diably over lack of deployment bonuses,,MMDD,,,,,,,,,
,Mali,9/30/2013,432,2013,9,0,1,1,cmps,1,1,"Soldiers, alleged to have been involved in the 2012 coup, mutinied at the Kati barracks, firing into the air and taking a close aide of Sanogo and an army colonel hostage. The soldiers were angry that they had not been promoted alongside colleagues also involved in ousting then-president Amadou Toumani Toure in March of the prior year.",,"1. Mali's mutinous soldiers expect president to resolve dispute with ex-junta. Xinhua General News Service. October 2 2013. LN. 2. Mali leader dissolves army reform panel. Voice of America News. October 3 2013. LN. 3. Arrests made after Mali military camp unrest. Associated Press Online. October 3 3013. LN. 4. Arrests made after Mali military camp unrest. Taiwan News. October 3 2013. LN. 5. Mali president decries recent uptick in violence, says he 'cannot tolerate indiscipline.' Canadian Press. October 2 2013. LN. 6. Timbuktu suicide bombing raises fears of renewed violence in Mali. The Huffington Post. September 30 2013. LN. 7. France- Mali - Mali's president Keita cuts short France visit after weekend of violence. RFI. October 1 2013. LN. 8. Calm returns after shootout in Malian army camp near Bamako. BBC Monitoring Africa. October 2 2013. LN. 9. Mali president cuts short France visit as violence spikes. Agence France Presse. September 30 2013. LN. 10. Mali fights rebels in north as army officers protest in south. Today's Zaman. October 3 2013. LN. 11. Disgruntled Malian troops fire weapons, kidnap officer. Agence France Presse. September 30 2013. LN. 12. Fighting flares between Mali army, rebels in Kidal. Deseret Morning News. September 30 2013. LN. 13. Fighting flares between Mali army, rebels in Kidal. The Associated Press. September 30 2013. LN.","Kati, Mali",,,,,,,,1
,Mali,8/18/2020,432,2020,8,1,1,2,jmp,0,0,"Soldiers mutiny at Kati, prompting a coup",,,,,,,,,,,
,Senegal,4/8/1999,433,1999,4,0,1,1,cmps,1,0,"Troops blocked the main road into Dakar and ministerial headquarters, angry over the failure to pay their allowances from a peacekeeping mission in CAR.",,1. Senegal; Negotiations over Senegalese soldiers' pay postponed. Africa News. April 8 1999. LN. 2. Sengal: returning soldiers from UN Bangui mission demonstrate for allowances. BBC Monitoring Africa. April 9 1999. LN. 3. Returning soldiers fro UN Bangui mission demonstrate for allowances. BBC Summary of world broadcasts. April 10 1999. LN.,"Dakar, Senegal",,,,,,,,0
,Benin,1/28/1972,434,1972,1,0,1,1,cmps,1,1,"Soldiers mutinied at the Ouidah military base, demanding the replacement of Chief of Staff de Souza. The mutiny was resolved after undisclosed promises were relayed.",,"1. Decalo, Samuel. ""Regionalism, Politics, and the Military in Dahomey."" The Journal of Developing Areas. 7(April 1978): 449-478. 2. Ronen, Dov. ""Political Dynamics in Benin."" Center for International Affairs, Harvard Univiersty & Department of State. 1984. Available from: https://apps.dtic.mil/dtic/tr/fulltext/u2/a143026.pdf","Ouidah, Benin",,,,,,,,1
,Benin,2/19/1972,434,1972,2,1,1,2,jmp,0,0,"A mutiny at Ouidah barracks leads to plans of its dismissal, attempted assassination of of Chief of Staff de Souza and coup attempt",,"1. Maga Declares a military plot, Le Monde","Ouidah, Benin",,,,,,,,0
,Benin,8/3/1992,434,1992,8,0,1,1,cmps,1,1,"Captain Pascal Tawes led an army mutiny, taking control of an army base at Natitingou. The mutiny was fueled by demands that fellow soldiers be released from detention related to a coup attempt earlier that year.",,"1. Army officer denies mutiny in Benin. Xinhua General News Service. August 5 1992. LN. 2. Country Reports on Human Rights Practices, Report Submitted to the Committee on Foreign Affairs, U.S. House of Representatives and Committee on Foreign Relations, U.S. Senate by the Department of State in Accordance with Sections 116(d) and 502B(b) of the Foreign Assistance Act of 1961, as Amended. Available from: https://play.google.com/store/books/details?id=IqsxJS1KXNoC&rdid=book-IqsxJS1KXNoC&rdot=1 3. Magnusson, Bruce. ""Democratization and Domestic Insecurity: Navigating the Transition in Benin."" Democratization 33(2): 211-230. 4. The Europa Worldbok 2003. Routeledge, pg 750.","Natitingou, Benin",,,,,,,,1
,Benin,1/19/2000,434,2000,1,0,1,1,cmps,1,0,"Soldiers mutinied, demanding peacekeeping arrears from missions in Liberia and Guinea-Bissau.",,"1. Benin; President Kerkou Reveals coup plot. Africa News. January 20 2000. LN. 2. Benin's president says coup detat being planned. Agence France Presse. January 20 2000. LN. 3. Benin's president accuses ex-soldiers, opponents of coup plot. Associated Press International. January 20 2000. LN. 4. Press in Benin asks president to punish suspected coup plotters. Agence France Presse. January 21 2000. LN. 5. Benin's former president demands proof of coup being planned. Agence France Presse. January 22 2000. LN. 6. Benin army on guard over alleged coup plot. Agence France Presse. January 26 2000. LN. 7. ECOWAS responds to coup scare in Benin. Xinhua General News Service. January 30 2000. LN. 8. Benin opposition says president must prove coup allegations. Agence France Presse. February 10 2000. LN. 9. POLITICS-BENIN: PRESIDENT SLAMMED FOR ""Crying wolf."" IPS-Inter Press Service. February 10 2000. LN. 10.",unknown,,,,,,,,0
,Niger,12/1/1963,436,1963,12,0,1,1,cmps,1,0,"Troops in Niamey mutinied, opposing the reassignment of their Captain Diallo.",,"1. The Military Intervenes: Case studies in political development. 1968. Ed. Henry Bienen. Russel Sage Foundation. 2. Mali reports rebellion among frontier nomads. The New York Times. December 8 1963. PROQ. 3. Rouvez, Alain. 1994. Disconsolate Empires: French, British and Belgian Military involvement in Post-Colonial Sub-Saharan Africa. Lanham: University Press of America.","Niamey, Niger",,,,,,,,0
,Niger,2/28/1992,436,1992,2,0,1,1,cmps,1,1,"Soldiers in Niamey mutinied, taking over radio and television stations, taking hostages, and making salary demands. After stating that the mutiny was over and that the government would meet their demands, they again retook control of state media. The mutineers shut down the airport and drove around the city firing into the air.",,1. Soldiers mutiny in Niger. The Associated Press. February 28 1992. LN. 2. Niger army denies coup attempt - Soldiers told to return to barracks after tense day in capital. The Globe and Mail March 2 1992. LN. 3. Niger strikers in protest at mutiny. The independent. March 3 1992. LN. 4. Niger troops rebel over arrears in pay. The Toronto Star. February 29 1992. LN. 5. Mutiny in Niger. The Washington Post. February 29 1992. LN.,"Niamey, Niger",,,,,,,,1
,Niger,7/10/1993,436,1993,7,0,1,1,cmps,1,1,"Mutineers took control of Zinder and the airport, demanding three months of back pay. Later in the day soldiers in Tahoua and Agadez threatened to undertake a similar mutiny if demands were not met within 24 hours. When demands were not met soldiers in Tahou, Agadez, and Maradi all joined the mutiny",,1. Soldiers mutiny in Niger in protest over wages. Agence France Presse. July 10 1993. LN. 2. Call for mutiny spreads among military in Niger. Agence France Presse. July 11 1993. LN. 3. Army mutiny threat spreads. Agence France Presse. July 12 1993. LN. 4. President orders mutinous troops to get back into line. Agence France Presse. July 13 1993. LN. 5. Rebelling soldiers in Niger take 11 hostages including top army official. Agence France Presse. July 13 1993. LN.,"Zinder, Niger","Tahoua, Niger","Agadez, Niger","Maradi, Niger",,,,,1
,Niger,6/2/1997,436,1997,6,0,1,1,cmps,1,1,Soldiers in Agadez seized the mayor and army officers while protesting attacks by Tuareg rebels. The soldiers were demanding local officials and all ethnic Tuaregs be removed from the region.,,"1. URGENT army mutiny in Niger. Agence France Presse. June 2 1997. LN. 2. Army mutiny ends in northeast Niger, officials released. Agence France Presse. June 3 1997. LN.","Agadez, Niger",,,,,,,,1
,Niger,2/21/1998,436,1998,2,0,1,1,cmps,1,1,"Soldiers began a mutiny in Diffa, protesting living and working conditions, and taking the deputy commander and senior local officials hostage. The mutiny spread to other locations (N'Gourti, Bosso, N'Guima, and Arlit) where soldiers demanded back pay and other allowances. Soldiers in Zinder seized a radio station and broadcast demands. Troops in Agadez mutinied in solidarity.",,"1. Mutinous soldiers hold officers, civilians hostage in Niger. Agence France Presse. February 23 1998. LN. 2. Army mutiny spreads in Niger, new hostages taken. Agence France Presse. February 26 1998. LN. 3. Niger faces second army rebellion in one week. Associated Press International. February 25 1998. LN. 4. Government employees walk off job in Niger. Associated Press International. February 24 1998. LN. 5. Army mutiny spreads in Niger. Agence France Presse. February 25 1998. LN. 6. AFR: Niger garrisons end mutiny, free most hostages. AAP Newsfeed. March 1 1998. LN. 7. Niger army mutiny gains momentum. Agence France Presse. February 24 1998. LN. 8. Niger mutiny spreads to northern town of Agadez. Agence France Presse. February 25 1998. LN. 9. Mutinous soldiers in Niger free French hostage. Agence France Presse. February 26 1998. LN. 10. Army mutiny sprefs in Niger, new hostages taken. Agence France Presse. February 26 1998. LN.","Diffa, Niger","N'Gourti, Niger","Bosso, Niger","N'Guima, Niger","Agadez, Niger","Zinder, Niger","Arlit, Niger",,1
,Niger,5/30/1998,436,1998,5,0,1,1,cmps,1,0,"Troops took the deputy commander of the Republican Guard hostage in Niamey, firing into the air and demanding back pay.",,1. Niger army moves in against rebellious paramilitaries. Agence France Presse. May 31 1998. LN. 2. Calm in Niger after rebellious paramilitaries overpowered. Agence France Presse. May 31 1998. LN. 3. Niger faces second army rebellion in one week. Associated Press International. February 25 1998. LN. 4. Mutiny ends in Niger. Xinhua News Agency. May 31 1998. LN.,"Niamey, Niger",,,,,,,,0
,Niger,10/4/1999,436,1999,10,0,1,1,cmps,1,1,"Soldiers mutinied in Maradi, protesting the non-payment of wages and meal allowances, and seized local administrators as hostages. The soldiers drove through the town firing into the air and commandeering vehicles.",,"1. Soldiers mutiny in eastern Niger town. Associated Press International. October 5 1999. LN. 2. Niger: Maradi now calm after ""mutiny"" by paratroops over pay. BBC Monitoring Africa. October 5 1999. LN. 3. Soldiers mutiny in southern town. World Markets Analysis. October 5 1999. LN. 4. Maradi now calm after ""mutiny"" by paratroops over pay. BBC Summary of World Broadcasts. October 6 1999. LN. 5. Niger; soldiers stage brief mutiny. Africa News. October 7 1999. LN.","Maradi, Niger",,,,,,,,1
,Niger,11/4/1999,436,1999,11,0,1,1,cmps,1,1,"Soldiers in Arlit and Agadez mutinied, firing into the air, demanding back pay and the release of jailed colleagues.",,"1. Soldiers mutiny in northern Niger. Agence France Presse. November 9 1999. LN. 2. Niger army sends troops to quell mutinies, sacks 100 soldiers. Agence France Presse. November 15 1999. LN. 3. Niger: Army chief castigates troops for recent mutinies. BBC Monitoring Africa. November 16 1999. LN.","Madawela, Niger","Agadez, Niger",,,,,,,1
,Niger,7/30/2002,436,2002,7,1,1,1,cmps,1,1,"A mutiny began in Diffa where soldiers took the local prefect, Diffa's mayor, a parliamentary deputy, and other security force officials hostage. Mutineers called for the dismissal of the army chief. Some reports indicate that soldiers did not want a dismissal but instead salary increases. The mutiny spread to both N'Guimi and N'Gourti",,"1. Rebel soldiers in eastern Niger reiterate call for talks, warn government against attacks. Associated Press International. August 3 2002. LN. 2. Mutinous soldiers in southeastern Niger await government troops. Agence France Presse. August 2 2002. LN. 3. Niger; Mutineers detain prefect, mayor and other dignitaries. Africa News. August 1 2002. LN. 4. Soldiers in Niger stage mutiny. Associated Press Online August 1 2002. LN. 5. Niger confirms mutiny soldiers chased out of Diffa. Agence France Presse. August 3 2002. LN. 6. Niger government vows to crush army mutiny, three officers arrested. Agence France Presse. August 1 2002. LN. 7. Mutinous troops seize airport, block roads in Niger. The Canadian Press. August 2 2002. LN. 8. Soldiers in eastern Niger mutiny to protest months of unpaid salaries, seizing radio station. The Associated Press. August 1 2002. LN. 9. Gunfire heard in Niger's capital. Associated Press Online. August 4 2002. LN. 10. Niger government troops crush mutiny, 3 officers arrested. Agence France Presse. August 1 2002. LN. 11. Niger mutiny ends as government troops retake last garrison. Agence France Presse. August 9 2002. LN. 12. Government sends troops to quell mutinous soldiers. IHS Global Insight. August 2 2002. LN. 13. Mutinous soldiers in Niger await government troops for a fight to the death. Agence France Presse. August 2 2002. LN. 14. Niger army dispatches troops to quash mutiny: witnesses. Agence France Presse. August 1 2002. LN. 15. Niger; army mutineers free civilian hostages. Africa News. August 2 2002. LN. 16. Niger government troops recapture mutiny garrison. Agence France Presse. August 3 2002. LN. 17. Niger government seeks to quell army mutiny in southeast. Agence France Presse. August 1 2002. LN. 18. Soldiers in eastern NIger mutiny, arrest local officials. Associated Press International. August 1 2002. LN.","Diffa, Niger","N'Guigmi, Niger","N'Gourti, Niger",,,,,,1
,Niger,5/8/2025,436,2025,5,0,1,2,jmp,0,0,Soldiers mutiny at garrison in Termit region over dire living conditions,,https://www.africansecurityanalysis.com/updates/mutiny-highlights-deep-challenges-facing-niger-s-military,Termit region,,,,,,,,
,Niger,6/25/2025,436,2025,6,0,1,2,jmp,0,0,"Soldiers mutiny against superiors in Filingue, then Tera",,https://guinee3.net/niger-deux-mouvements-dhumeur-de-soldats-en-72-heures/?utm_source=chatgpt.com,"Filingue, Tera",,,,,,,,
,Ivory Coast,5/14/1990,437,1990,5,0,1,1,cmps,1,1,"Hundreds of soldiers surrounded the presidential palace and some radio and television stations in Abidjan, protesting wages and living conditions. The mutiny ended when President Houphouet-Boigny agreed to meet with a delegation to discuss demands.",,1. Cocoa soars to contract highs. Journal of Commerce. ND. LN. 2. Ivory Coast unrest fuels prices of cocoa futures. The Globe and Mail. May 15 1990. LN. 3. Conscripts stage sit-in over pay. The Times. May 15 1990. LN.,"Abidjan, Ivory Coast",,,,,,,,1
,Ivory Coast,3/28/1993,437,1993,3,0,1,1,cmps,1,0,"More than 100 members of the Republican Guard left their barracks in Abidjan, fired into the air, took hostages in the presidential palace, and demanded higher wages and better conditions. The mutiny ended when President Houphouet-Boigny agreed to consider their demands.",,1. Soldiers hold presidential palace in Ivory Coast. The Associated Press. March 30 1993. LN. 2. Soldiers in Ivory Coast give up siege of presidential palace. The Associated Press. March 31 1993. LN. 3. Guards mutiny. Press Association. March 30 1993. LN.,"Treichville, Ivory Coast",,,,,,,,1
,Ivory Coast,4/4/1993,437,1993,4,0,1,2,jmp,0,0,Republican Guard stage another mutiny an Yamousoukro,,https://www.lemonde.fr/archives/article/1993/04/06/cote-d-ivoire-nouvelle-manifestation-de-mecontentement-de-la-garde-republicaine_3919281_1819218.html?utm_source=chatgpt.com,Yamousoukro,,,,,,,,
,Ivory Coast,4/29/1993,437,1993,4,0,0,0,jmp,0,1,Same as 3/28? Similar narrative,,MMDD,,,,,,,,,
,Ivory Coast,12/23/1999,437,1999,12,1,1,1,cmps,1,1,"Hundreds of soldiers in Abidjan shot into the air on their way to take over the national radio and televisions station and protest at the home of an army commander. Mutineers protested the non-payment of allowances from their involvement in the peacekeeping mission in CAR. The soldiers looted and robbed at shopping centers and stole cars on roadways. The mutiny escalated into a coup when soldiers announced that their leader, former army chief of staff Robert Guei, ousted president Bedie.",,1. Ivory Coast; Shooting by Ivorian soldiers in Abidjan. Africa News. December 23 1999. LN. 2. Armed soldiers take to streets in Ivory Coast capital. Associated Press International. December 23 1999. LN. 3. Government soldiers take to streets in Ivory Coast capital. The Associated Press. December 23 1999. LN. 4. Leader of Ivory Coast rebellion has a checkered past with BC-Ivory Coast-Army rebellion. Associated Press International. December 24 1999. LN. 5. 2nd roundup: Soldiers rampage Ivory Coast capital. Deutsche Presse-Agentur. December 23 1999. LN. 6. 2nd roundup: Ivory Coast soldiers impose curfew in Abidjan. Deutsche Presse-Agentur. December 24 1999. LN.,"Abidjan, Ivory Coast",,,,,,,,1
,Ivory Coast,3/28/2000,437,2000,3,0,1,1,cmps,1,1,"More than 400 mutineers calling for a pay raise captured an ammunitions depot at Daloa barracks. An officer sent to negotiate was shot dead by the mutineers. The mutiny spread to two further bases in Abidjan, where soldiers there engaged in a standoff with superior officers.",,1. One killed in Ivory Coast as soldiers mutiny. Agence France Presse. March 29 2000. LN. 2. One killed as Ivorian soldiers revolt over pay demands. Associated Press International. March 29 2000. LN. 3. Ivory Coast; Guei condemns blackmail by soldiers. Africa News. April 4 2000. LN.,"Daloa, Ivory Coast","Abidjan, Ivory Coast",,,,,,,1
,Ivory Coast,7/4/2000,437,2000,7,0,1,1,cmps,1,1,"Sporadic gunfire broke out in Abidjan and Bouake with mutineers demanding pay increases, payment of a a six-million-CFA-franc bonus for involvement in the December coup, and payment for the UN mission DRC began firing into the air, stealing vehicles, and gathering in front of banks. A curfew was imposed and Guei promised that negotiations over bonuses would take place.",,"1. Ivory Coast; Army minister says situation under control in Abidjan. Africa News. July 4 2000. LN. 2. Ivory Coast junta imposes curfew as mutinous soldiers vent their anger. Agence France Presse. July 4 2000. LN. 3. URGENT -- Ivory Coast leader calls on mutinous soldiers to talk. Agence France Presse. July 4 2000. LN. 4. Ivory Coast junta and mutinous soldiers reach deal, calm returns. Agence France Presse. July 5 2000. LN. 5. Ivory Coast soldiers return to barracks. Agence France Presse. July 6 2000. LN. 6. Ivory Coast's capital paralyzed during army protest. The Associated Press. July 4 2000. LN. 7. Mutinous soldiers paid housing perk to end uprising; troops apologize to people of Ivory Coast.; halt looting and robbery, surrendur some guns. The Globe and Mail. July 6 2000. LN. 8. Alan Bryden, Boubcar N'Diayre, and Funmi Olonisakin (eds.) Challenges of Security Sector governance in West Africa, Geneva: Geneva Centre for Democratic Control of Armed Forces, 2008, pg. 82","Abidjan, Ivory Coast","Bouake, Ivory Coast",,,,,,,1
,Ivory Coast,9/19/2002,437,2002,9,0,1,1,cmps,1,1,"More than 750 mutineers fired into the air in sustained, heavy gunfire in Abidjan, Bouake, and Korhogo. Loyal troops responded to the mutiny and former leader and retired general Robert Guei was killed. The mutineers were protesting their upcoming forced retirement from the armed forces and demanding to be reintegrated.",,1. Cote d'Ivoire: Coup or mutiny? Former military ruler Guei killed. Africa News. September 19 2002. LN. 2. At least 80 Icoast troops killed in mutiny: source. Agence France Presse. September 19 2002. LN.,"Abidjan, Ivory Coast","Bouake, Ivory Coast","Korhogo, Ivory Coast",,,,,,1
